arc_length,stress_height_5.0,stress_height_7.5,stress_height_10.0,stress_height_12.5,stress_height_15.0
9.905838426669747676e+00,2.038820564160388482e+00,2.304253951482375662e+00,2.543278903416490433e+00,2.653857355015722508e+00,2.615299509343073314e+00
1.007373399322347218e+01,2.034493712340217808e+00,2.307835640502831076e+00,2.566145973546900994e+00,2.708087952382799202e+00,2.704441062452054290e+00
1.024162955977719669e+01,2.030409351781571115e+00,2.311219856201486067e+00,2.588217787478823251e+00,2.762240953381123187e+00,2.794876940753077132e+00
1.040952512633092120e+01,2.026542726799438476e+00,2.314546593538866492e+00,2.609979258724961504e+00,2.816129218777989607e+00,2.886365140234327775e+00
1.057742069288464570e+01,2.022872160024414168e+00,2.317836338504162708e+00,2.631173972241511727e+00,2.869595134885524423e+00,2.978688355417837386e+00
1.074531625943837021e+01,2.019378720100386104e+00,2.321041854992017317e+00,2.651764192139163256e+00,2.922495934750063196e+00,3.071667064238773559e+00
1.091321182599209472e+01,2.016045908734715564e+00,2.323902283695098436e+00,2.671680837783155127e+00,2.974711250788079742e+00,3.165132560312364784e+00
1.108110739254581922e+01,2.012859561685601317e+00,2.326640569190389751e+00,2.690880702671584412e+00,3.026127291880488013e+00,3.258926991361889236e+00
1.124900295909954373e+01,2.009807507231352375e+00,2.329187523856294906e+00,2.709344906794785235e+00,3.076646148702650851e+00,3.352928846093162107e+00
1.141689852565326824e+01,2.006879021808870789e+00,2.331544728072876271e+00,2.727036893373200765e+00,3.126179300613959544e+00,3.447038115893823917e+00
1.158479409220699274e+01,2.004065794346071350e+00,2.333694467157416241e+00,2.743930531451535870e+00,3.174653685298795214e+00,3.541128392265386005e+00
1.175268965876071725e+01,2.001360767285324638e+00,2.335633769943370464e+00,2.759997209595446588e+00,3.221992221318502825e+00,3.635111214939931834e+00
1.192058522531444176e+01,1.998754049491820117e+00,2.337357816734813909e+00,2.775364946624859996e+00,3.268134664541411549e+00,3.728884953298792659e+00
1.208848079186816626e+01,1.996241480877643415e+00,2.338867182856110283e+00,2.790135073745494854e+00,3.313021089353669346e+00,3.822358990094591569e+00
1.225637635842189077e+01,1.993822011891389856e+00,2.340164836688714889e+00,2.803648394571539360e+00,3.356603080063784272e+00,3.915444042259628166e+00
1.242427192497561528e+01,1.991490631556901647e+00,2.341193803269597140e+00,2.816474947663380579e+00,3.398841163251738351e+00,4.008059846842756180e+00
1.259216749152933978e+01,1.989244343477415189e+00,2.341993512899895880e+00,2.828476776785100455e+00,3.439686733712715938e+00,4.100127433873034910e+00
1.276006305808306429e+01,1.987081263930833952e+00,2.342771409355215440e+00,2.839679080821481350e+00,3.479110897719160711e+00,4.191559652446435358e+00
1.292795862463678880e+01,1.985000137149317778e+00,2.343279213883401102e+00,2.850079945477964838e+00,3.517084531774368195e+00,4.282285883147352479e+00
1.309585419119051330e+01,1.983000358845041777e+00,2.343630491569583807e+00,2.859698848315059383e+00,3.553580782163086038e+00,4.372222004708614662e+00
1.326374975774423781e+01,1.981081691632051944e+00,2.343811930297415191e+00,2.868550518094125756e+00,3.588576735930017581e+00,4.461299613043640200e+00
1.343164532429796232e+01,1.979244249094157748e+00,2.343836283912696938e+00,2.876647702616847546e+00,3.622054974693440510e+00,4.549440386383950319e+00
1.359954089085168683e+01,1.977488509640090708e+00,2.343713989872102221e+00,2.884016993565164722e+00,3.654002182037302759e+00,4.636565735594673221e+00
1.376743645740541133e+01,1.975815008343359214e+00,2.343461069270478703e+00,2.890680898726012416e+00,3.684401058434573439e+00,4.722614378015538961e+00
1.393533202395913584e+01,1.974225881662753146e+00,2.343088168955491213e+00,2.896660829741929177e+00,3.713248270259748463e+00,4.807470076517765811e+00
1.410322759051286035e+01,1.972723095823603057e+00,2.342604980233555789e+00,2.901980903197736161e+00,3.740525403463716980e+00,4.891059390281334629e+00
1.427112315706658485e+01,1.971302799941377026e+00,2.342024472685992453e+00,2.906669556506213059e+00,3.766236361051298775e+00,4.973316070871742767e+00
1.443901872362030936e+01,1.969967048667475629e+00,2.341358888438125341e+00,2.910757878103042984e+00,3.790380732845185285e+00,5.054141113307311528e+00
1.460691429017403387e+01,1.968721549859044018e+00,2.340622077813258706e+00,2.914287051095650671e+00,3.812962322007448446e+00,5.133444377307956330e+00
1.477480985672775837e+01,1.967565811683342103e+00,2.339825616723347324e+00,2.917284742137700171e+00,3.833985409802903810e+00,5.211134050405857643e+00
1.494270542328148288e+01,1.966500881247843946e+00,2.338980538807044152e+00,2.919762037223519346e+00,3.853446894461113992e+00,5.287112682515947348e+00
1.511060098983520739e+01,1.965528056177862082e+00,2.338098336171603897e+00,2.921749707364109216e+00,3.871371119918624260e+00,5.361289506122979276e+00
1.527849655638893189e+01,1.964648526295662556e+00,2.337186760756132298e+00,2.923277700047907768e+00,3.887760554093794063e+00,5.433562188104437141e+00
1.544639212294265640e+01,1.963863409231966672e+00,2.336261455919979912e+00,2.924383265310658508e+00,3.903702782481390798e+00,5.503832115964872429e+00
1.561428768949638091e+01,1.963173836986725762e+00,2.335330160446499992e+00,2.925102504770734413e+00,3.917482598940661198e+00,5.571991724984192373e+00
1.578218325605010541e+01,1.962581143684715146e+00,2.334395289942170937e+00,2.925464484517809716e+00,3.929491091614853993e+00,5.637947974612293578e+00
1.595007882260382992e+01,1.962086341014326774e+00,2.333470230572650461e+00,2.925503141653142958e+00,3.940247976814974074e+00,5.701594126836363685e+00
1.611797438915755620e+01,1.961690152171831514e+00,2.332572306571268683e+00,2.925249870897938198e+00,3.949623534050918039e+00,5.762852784599108880e+00
1.628586995571128071e+01,1.961393990339868942e+00,2.331710193995693459e+00,2.924738725118647409e+00,3.957698271023349701e+00,5.821552136766717567e+00
1.645376552226500522e+01,1.961199820136935390e+00,2.330890943438435059e+00,2.924000769462625993e+00,3.964489527531021462e+00,5.877592710058292980e+00
1.662166108881872972e+01,1.961104950503851363e+00,2.330124841171952621e+00,2.923068758901035569e+00,3.970058421581257768e+00,5.930920073887776311e+00
1.678955665537245423e+01,1.961110570594308600e+00,2.329417375980065597e+00,2.921972078390813632e+00,3.974443517577349816e+00,5.981409006034441589e+00
1.695745222192617874e+01,1.961216614043114426e+00,2.328777296594706225e+00,2.920737496580684045e+00,3.977684390939108194e+00,6.028981951347242685e+00
1.712534778847990324e+01,1.961421225900770615e+00,2.328208412788762338e+00,2.919403240579258263e+00,3.979879420029808657e+00,6.073515649801856320e+00
1.729324335503362775e+01,1.961726953628676773e+00,2.327717405653534577e+00,2.917987693982643904e+00,3.981078248325609970e+00,6.114861693168281320e+00
1.746113892158735226e+01,1.962131788017969170e+00,2.327306598304725416e+00,2.916500859499044918e+00,3.981339832846350735e+00,6.152955335952749572e+00
